name,dividend_yield_ttm,country,earnings_ttm,marketcap,pe_ratio_ttm,revenue_ttm,price,gdp_per_capita_usd,gdp_growth_percent,inflation_percent,interest_rate_percent,unemployment_rate_percent,exchange_rate_to_usd,inflation,interest_rate,unemployment,pc_class
CVR Energy,1.1081354843823263e-06,United States,938125400.0,2241983890.0699167,2.94904,10932867400.0,22.3014186404,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Oxford Square Capital,1.4127421955520877e-05,United States,3671674.556,174476654.32239288,-6.66667,10396644.3793,2.73654962356,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Orchid Island Capital,4.099880976048892e-06,United States,-48833644.8,589473715.2416251,117.857,-27328334.2,7.96618360168,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
ARMOUR Residential REIT,2.4495490450017093e-06,United States,-144885416.0,976888179.0233068,-6.10417,-125901796.7,20.03232233332,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Oxford Lane Capital,1.4602089991285857e-06,United States,-218924470.9,1623716172.42116,0.0,-202493869.131,5.0677782672888,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
AFC Gamma,1.1309112497736664e-05,United States,21656509.83,205092945.57501256,5.91061,65661307.5055,9.92364436444,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Eagle Point Credit Company,2.4875227349463577e-06,United States,-29494458.08,930345535.1333324,2.46701,36494025.1321,9.51462271252,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Sachem Capital,1.9669281165311324e-05,United States,8557032.872,117217814.551664,5.54348,40817216.2755,2.47847643842,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Runway Growth Finance,5.9382262276417695e-06,United States,38822287.5,387334778.572999,6.425,53349172.1,10.048298582168,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Petrobras,2.572402827728356e-08,Brazil,24570450020.0,86591130128.98691,0.710291,100171721477.2211,14.0325590162992,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
Granite Point Mortgage Trust,1.3995161295570042e-05,United States,-219305344.7,157456086.96182188,-2.21528,72927107.9,3.1066168324400003,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Guess,2.1936107032500297e-06,United States,296840003.1,1001062745.429951,7.54887,3663958666.3,19.46748290924,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Silver Spike Investment,3.3315630012541894e-05,United States,7137293.83,65185511.88083343,15.6087,13858668.358,10.48848378852,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Service Properties Trust,2.73004235055315e-06,United States,-245888546.6,772222594.8519975,-97.0,2415702301.3,4.65505594328,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
SandRidge Energy,4.789801012281307e-06,United States,69453232.1,432343957.44003785,2.19039,164024963.5,11.62790124744,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Walgreens Boots Alliance,2.7205696246688414e-07,United States,-16731607100.0,7570593192.411705,-2.35938,186004449200.0,8.76961898938,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Ready Capital,1.6357123648808931e-06,United States,-157542440.3,1257383977.8668928,2.81655,108842996.0,7.42082139912,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Cherry Hill Mortgage Investment,1.8809981941759104e-05,United States,-3830465.7,107853805.29771386,-42.0,16054214.1,3.5162228010056,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Ares Commercial Real Estate,5.426140389955836e-06,United States,-62343161.8,373779224.5026133,-73.1,12685142.5,6.855981975040001,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Park Hotels &amp; Resorts,6.922222921511032e-07,United States,508683800.0,2929768023.9360204,-54.8519,3436810900.0,14.0235994944,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
NexPoint Real Estate Finance,5.815395125506978e-06,United States,-2098640.2,340441607.0227736,-52.7586,-13062182.0,15.1310743100272,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Portman Ridge,1.182325408995023e-05,United States,15349981.0,164203619.76743853,-8.86341,17093309.4,17.76322602624,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
FS KKR Capital,3.588085714077988e-07,United States,840989800.0,5394357920.174064,19.81,911285300.0,19.261024361128,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Canacol Energy,2.172609263140389e-05,Canada,148967667.4,87432938.68931891,0.462276,434384012.7,2.56319261342124,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Apollo Commercial Real Estate,1.5366205683578736e-06,United States,31349236.8,1234847991.1522832,-157.167,425409194.5,8.9257289198628,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Trinity Capital,2.703701729317352e-06,United States,105376788.8,699071136.9915866,17.859,168192847.6,13.0984314722,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Gladstone Investment,3.599609362990088e-06,United States,89458053.3,517544647.8038094,6.28634,83560899.9,14.10637768586,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Berry Corporation,4.951143103207131e-06,United States,-379595.7,374639494.4227086,8.38333,1079313272.7,4.86930538,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
TTEC,7.252795463712874e-06,United States,-197269622.6,252367107.1599464,2.97794,2990575066.0,5.28806564268,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Natural Health Trends,2.9010724970038336e-05,United States,1582287.8,62937252.30533552,140.0,54930181.8,5.464821427974,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
CION Investment,2.922544426215316e-06,United States,162472072.0,618437932.9831412,16.5,176988731.8,11.56946958288,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Great Ajax,1.2033561030841043e-05,United States,-146817903.2,148569409.87110668,-1.80645,-107793675.9,3.2575652992200004,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Great Elm Capital,1.7253230807520166e-05,United States,13357423.1,102785185.6144554,11.5977,19763260.3,9.8359968676,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
BrightSpire Capital,2.4830127258095044e-06,United States,-130039006.4,713673381.3646799,144.25,484447189.7,5.463360636359999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
CVR Partners,2.5392516192267333e-06,United States,63549688.2,693769904.747159,2.76343,680942283.7,65.6382365224,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
New York Mortgage Trust,3.162227017892494e-06,United States,-210854547.5,557057198.9401321,-3.52973,340790027.8,6.14993269494,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Ellington Residential Mortgage REIT,1.0269391666059166e-05,United States,5614693.3,170928309.68765652,69.9,13969633.0,6.74885725668,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
AGNC Investment,2.2097542777491415e-07,United States,530411500.0,7909600309.86042,27.7105,656943400.0,10.1085805827724,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Brasil Agro,3.806762396455441e-06,Brazil,56225663.96,456924927.7600298,5.7095,257993556.9538,4.58688566796,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
Prospect Capital,7.755616704022121e-07,United States,335928135.4,2240856018.707965,-12.314,410157627.2,5.17607161894,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Chicago Atlantic Real Estate Finance,5.777031013886825e-06,United States,47658559.66,299118484.53750616,7.86765,70483284.8425,15.2420944726912,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Horizon Technology Finance,4.529946813881636e-06,United States,-27169849.8,375486488.668616,118.556,-19648231.3,10.4129121690224,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
WhiteHorse Finance,6.500385684521816e-06,United States,30491631.7,260960737.76656023,18.8361,36306986.7,11.2274495729888,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Ellington Financial,1.5444129566360152e-06,United States,142184790.7,1093244664.094025,29.5909,361666513.2,12.5761497771412,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Claros Mortgage Trust,1.6417901660542912e-06,United States,-126855259.3,1017620627.49787,-20.1316,283619336.7,7.323435291519999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Cato Fashion,1.5807935117983762e-05,United States,-13380428.9,104127415.48561884,-77.7122,867657356.5,5.0625194174784,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Marine Products Corporation,4.959453373614757e-06,United States,41673728.6,331340135.13313586,6.95035,367509986.4,9.5438385448,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Bradespar,1.201439359859974e-06,Brazil,455741063.7,1364513750.5658772,2.6893,472539647.0743,3.31081602285568,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
Blackstone Mortgage Trust,5.035551979911623e-07,United States,-191768680.2,3221398062.16134,16.8448,751904951.9,18.5541959921672,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Annaly Capital Management,1.5366653620662292e-07,United States,-612034800.3,10467148845.19325,-4.40512,-434501597.9,19.44800568772,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Parex Resources,1.8473697491002933e-06,Canada,629116606.8,869529038.6682584,1.85868,1867295153.3,8.5942266095924,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Saratoga Investment,5.1531127808688974e-06,United States,24254887.13,310566790.22075456,8.3913,36055280.2422,22.593576963200004,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
NextEra Energy Partners,6.269385187870206e-07,United States,108638500.0,2534698419.98947,21.1353,1334336400.0,27.0976844397,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Angel Oak REIT,6.733593817438253e-06,United States,64374062.7,235194835.6164004,-2.65553,88505868.8,10.08433144198,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Dynex Capital,1.7078310569319749e-06,United States,16702210.8,922897445.6240844,66.5789,62704864.1,12.35342774906,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
PennantPark Investment,3.5469732055608e-06,United States,61384586.8,442607175.47534615,-5.62602,69579764.0,6.7784626333904,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Civitas Resources,3.245609176707653e-07,United States,1781466904.0,4829169214.975939,4.1668,6140745200.9,49.10207545192,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Nu Skin,4.360521923200135e-06,United States,-198961827.0,358420173.2101388,6.18487,2356559501.9,7.211441267780001,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Banco del Bajío,5.808687493968675e-07,Mexico,1138785821.9,2669742270.711255,2.59815,1995654830.8794,2.24361036272108,10.0,2.3,4.4,11.25,2.9,18.5,-4.4,-11.25,-2.9,0
Vale,3.1202556481783866e-08,Brazil,16291940700.0,49577615087.504524,5.61429,53751773600.0,11.6132933313,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
Golub Capital,4.016572703967829e-07,United States,360866422.6,3849950002.081144,15.4227,367296543.7,14.5495818615476,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Black Stone Minerals,5.01562168523951e-07,United States,437062910.3,3057886133.066195,7.17703,645503126.9,14.513743773950798,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Companhia Siderúrgica Nacional,4.753098139726613e-07,Brazil,1464178579.0,3202740068.160172,-28.0972,10946434113.2531,2.41517546848,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
Broadcom,1.9330185603073433e-09,United States,17333592200.0,779157454525.6985,7.18943,59834251500.0,166.75423204348,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Dorian LPG,1.0605374525007237e-06,United States,392394593.4,1419068725.4385045,5.33281,720219026.4951,33.29631018844,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
REV Group,1.1069227070707783e-06,United States,412698490.0,1358402260.0630002,66.3415,3164064360.0,26.1238233637,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
TXO Energy Partners,2.0977737972849467e-06,United States,-220056867.5,712084476.37841,4.83703,366295791.4,18.53744558166,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Stellus Capital,4.326788458611497e-06,United States,37213798.65,344120215.31503576,16.9136,41742604.1309,13.2445106336,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
TPG Real Estate Finance Trust,2.250352615603253e-06,United States,-16376295.3,656119157.8432673,-6.44186,180955954.2,8.1073934577,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Global Net Lease,7.64223526213024e-07,United States,81191302.5,1925034959.7192607,-19.4091,938412972.5,8.2630164576448,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Kimbell Royalty Partners,9.912670952519304e-07,United States,119326739.06,1476794099.200832,12.3178,411369520.3419,15.4648165007724,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Avis Budget Group,4.79706802567937e-07,United States,1027592400.0,3042165241.743313,1.89199,15401105000.0,85.30049164684002,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
FAT Brands,1.7869237293648582e-05,United States,-170345168.0,81576587.12821095,-0.587321,731084702.9,4.799187382528,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Allied Properties REIT,7.145784556419443e-07,Canada,-496904830.4,2021018549.604352,22.6148,548101310.1729,14.4600840286632,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Cardinal Energy,1.9861865227937124e-06,Canada,144549275.7,725720168.5028788,5.14239,596913766.6311,4.55916958173704,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Banorte,7.35158202698976e-08,Mexico,4063143805.0,19539942936.448463,7.67683,11177499109.0716,6.84540584375464,10.0,2.3,4.4,11.25,2.9,18.5,-4.4,-11.25,-2.9,0
Alliance Resource Partners,4.605665276177822e-07,United States,692873347.2,3115532725.362995,4.48561,3204183919.0,24.3283156978788,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Bancolombia,1.800341540241854e-07,Colombia,2603655853.0,7965240966.48549,5.4176,8830462188.3572,31.0661683244,7.5,1.3,5.0,13.25,10.5,4200.0,-5.0,-13.25,-10.5,0
Cracker Barrel,1.441468900891876e-06,United States,56770645.8,994749445.5917896,10.3691,4362292056.7,44.80247880138,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
PennyMac Mortgage Investment Trust,1.1871783554616518e-06,United States,280838191.1,1206261164.0549388,11.5161,326080374.9,13.88725894376,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
MFA Financial,1.1482452939959034e-06,United States,126292895.3,1243677374.048175,-35.8,293392967.4,12.18300206076,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Lument Finance Trust,1.0812085568402864e-05,United States,29367926.18,131344658.90189722,17.4,44459682.4122,2.51256157608,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Dorchester Minerals,1.2103853954855624e-06,United States,138083367.8,1170831443.6754155,10.6679,206223991.2,29.20609366924,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
International Seaways,5.745700258072374e-07,United States,739249205.7,2463974353.710825,3.87005,1309096481.2,50.08810979137,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
SLR Investment,1.773651655166394e-06,United States,129941870.8,793629712.9708623,13.6697,142359890.4,14.5474393671804,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Arbor Realty Trust,4.890923489483367e-07,United States,461751968.0,2870190787.1151004,8.6044,873121234.0,15.2225198650636,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
KKR Real Estate Finance Trust,1.6935435323714025e-06,United States,46389917.6,823079770.5259732,-41.5667,213001755.5,11.87136651644,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
PennantPark Floating Rate,1.6684386892663891e-06,United States,127142831.8,824770580.3352358,-95.6667,135015927.8,11.23348751166,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
PermRock Royalty Trust,2.9032873114817705e-05,United States,6766823.764,47391994.87968552,4.92069,7926353.1489,3.8955416901076,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Birchcliff Energy,1.2852353349580564e-06,Canada,17538471.63,1069320233.9047512,4.71721,671953310.5425,3.970431606852,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
CPFL Energia,2.0197623961033814e-07,Brazil,1962036872.0,6792951441.4515,6.50135,10105544299.0161,5.89538488689512,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
Betterware de Mexico,2.859241920657152e-06,Mexico,177583048.3,473160952.6377752,10.2763,1001080758.919,12.67967120952,10.0,2.3,4.4,11.25,2.9,18.5,-4.4,-11.25,-2.9,0
Franklin BSP Realty Trust,1.3054972841785892e-06,United States,140139830.7,1034377146.0617388,9.26897,701988756.4,12.64071676648,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Barings BDC,1.3288504703421772e-06,United States,144971048.7,1014487007.4455148,12.0244,157521990.7,9.5925315986,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
TCG BDC,1.5826492130604182e-06,United States,141433267.9,843522999.9062564,11.3032,149308920.1,16.588944340799202,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Mach Natural Resources LP,8.115630983360095e-07,United States,407734349.6,1635462837.9745147,0.0,1127749428.4,15.9850530875716,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
UNITI,9.731571861290264e-07,United States,-127206736.8,1349340023.0884178,-41.7143,1479625695.6,5.5266616063,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Community Healthcare Trust,2.715663928928036e-06,United States,28407050.6,481718838.6474556,81.0909,146608294.8,17.16917076988,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Seven Hills Realty Trust,6.56774439102468e-06,United States,29282549.1,198574418.14913943,7.53846,42209252.5,13.390589795,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Sixth Street Specialty Lending,6.957868205276423e-07,United States,272834728.9,1874220914.4046187,9.03057,348654177.1,20.14918566244,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
AMERISAFE,1.448230202600795e-06,United States,90442190.3,898596230.5322286,14.4671,395099053.0,47.12513746764,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
CrossAmerica Partners,1.6905508614358693e-06,United States,85648037.2,766980573.3609908,13.9865,5495332819.1,20.1589242732,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Bain Capital,1.2298396740760432e-06,United States,169915726.4,1053780135.9950818,9.86207,187577790.3,16.32191163376,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Leggett &amp; Platt,7.142514699682613e-07,United States,-1159620130.0,1812240967.5369911,9.00786,5771899600.0,13.50745312412,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Medical Properties Trust,3.737254224856421e-07,United States,-2175556258.0,3448617520.9274526,-85.0,922876388.9,5.7457803484,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Orion Office REIT,5.895665663521225e-06,United States,-77933425.6,213582708.0547045,-2.37427,230247158.8,3.81753541792,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Two Harbors Investment,9.076562211829937e-07,United States,212412551.4,1386563891.6237512,-124.636,412082445.8,13.38085118424,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Delek Logistics Partners,6.274740871348194e-07,United States,168337272.9,1989581786.2383945,11.9583,1337756595.6,42.30452514144,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Comgás,4.256908223486759e-07,Brazil,838539682.3,2931205552.930524,39.2227,3690538897.8956,22.120280480264,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
Hercules Capital,3.979413607082055e-07,United States,359096254.1,3122338097.725612,8.81696,475340727.2,19.2291791039428,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
NexPoint Diversified Real Estate Trust,4.998953536450345e-06,United States,-145004279.3,246234555.9374908,-1.93478,-86706304.0,6.05741589272,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Chimera Investment Corporation,9.906279971955586e-07,United States,279837438.8,1235205000.831856,31.7451,365628623.2,15.338311947,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Kohl's,5.338091798012579e-07,United States,849936500.0,2291197873.845777,-20.4902,21886184400.0,20.597259143507603,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Banco Bradesco,4.6646551998983935e-08,Brazil,2160334087.0,26085305148.0955,9.74813,25276582319.0855,2.60994768368,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
Xerox,9.677000599076436e-07,United States,-190436900.0,1248356394.7648134,9.88785,8303815700.0,10.04050769356,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Superior Plus,8.962048063155188e-07,Canada,190458627.7,1345591637.6501114,-22.7483,2812680409.2514,5.41356711954412,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Grupo Elektra,9.36157598314064e-08,Mexico,649515082.8,12863125967.984886,35.7112,14085515810.4211,58.2833455181252,10.0,2.3,4.4,11.25,2.9,18.5,-4.4,-11.25,-2.9,0
Entravision Communications,6.429219436867852e-06,United States,-107314388.4,186662429.9394973,23.6667,1220047419.9,2.07432409188,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
AG Mortgage Investment Trust,5.50122512647572e-06,United States,73886961.0,217716273.0781195,14.1636,71553150.4,7.381964342187601,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
